"Data Source","World Development Indicators",

"Last Updated Date","2019-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Fragile and conflict affected situations","FCS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93046562","95828764","98762471","101968953","105216178","108507151","111313517","114063294","116827775","119692660","122715045","125571493","128630088","131824273","134933049","138030094","140572883","143127782","145850076","148427709","151363627","154552064","157709209","161501798","165516809","169700886","173525796","177594981","182088960",
"Finland","FIN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2622943","2581454","2536684","2514611","2494493","2475034","2457487","2503861","2522361","2566222","2586033","2608203","2623439","2620846","2611698","2627895","2661097","2690371","2718446","2689293","2679149","2692175","2699346","2685221","2688636","2695058","2687198","2704641","2698113",
"Fiji","FJI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","269094","273679","277409","282548","287549","293131","296243","298208","300047","301390","302232","307459","311805","315828","320182","325121","333760","343655","354297","364956","375069","382782","376692","369763","362454","359780","358222","359691","362534",
"France","FRA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26004214","25977351","26170128","26281172","26344081","26474585","26800071","26770765","26947154","27262630","27479615","27558926","27903772","28468122","28660874","28944175","29090451","29328350","29531162","29765568","29861054","29856336","30092450","30231163","30170405","30251104","30319992","30264006","30246963",
"Faroe Islands","FRO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","253111","258549","265187","271778","278853","286291","294224","302537","311584","322371","333051","343683","355485","368101","382079","397143","415435","434253","455954","479266","503713","528287","555342","583822","613022","642136","664506","686504","707701",
"United Kingdom","GBR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29040591","28910691","28745057","28507538","28449069","28418872","28517679","28693133","28761240","29050150","29295681","29259847","29588217","29868748","30142943","30589897","31037809","31240396","31647690","31825552","32010415","32192066","32543044","32853165","33143711","33408045","33692950","33871662","34047601",
"Georgia","GEO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2392170","2424362","2460919","2500268","2484436","2385030","2283032","2196503","2143245","2101786","2003899","2061536","1992008","2034586","1996802","1991946","1991317","1992318","1997277","1988971","2013146","2029544","2050357","2024016","2034761","2062766","2039265","2032153","2031381",
"Ghana","GHA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6230924","6428957","6637759","6853063","7073034","7293925","7504665","7715848","7929500","8150264","8380900","8542566","8715180","8896815","9084634","9277580","9474583","9700320","9929579","10162553","10396838","10613979","10831804","11049181","11265877","11483062","11783963","12089372","12386062",
"Gibraltar","GIB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2346959","2405973","2466028","2526767","2591614","2662856","2725029","2790752","2860513","2931617","3002828","3062633","3121927","3184978","3251429","3323184","3396065","3474084","3559168","3651580","3742839","3830789","3922759","4021859","4129143","4245979","4368488","4501365","4648616",
"Gambia, The","GMB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296105","306428","316080","325578","336140","347483","357935","369406","381880","395313","409586","422926","437348","452634","468524","484904","500433","516682","533766","551856","571015","590128","610377","630315","651783","674040","696232","719465","745209",
"Guinea-Bissau","GNB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","383590","391758","400447","409594","419331","429663","437074","445337","455462","465209","475549","487943","501438","515843","531044","546920","562559","579068","596435","614659","633672","652123","672239","693039","714581","736316","757428","779272","802102",
"Equatorial Guinea","GNQ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140910","145513","150293","155483","161355","168001","174607","182372","191233","201047","211691","221424","232453","244803","258442","273281","287296","303040","320479","339398","359483","376207","394517","414423","435740","458140","474310","492171","511968",
"Greece","GRC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4198241","4163454","4280786","4318576","4425528","4516818","4613396","4638407","4768457","4841913","4875327","4817129","4870068","4918633","5008126","5005315","5048617","5053999","5066715","5123764","5148022","5083114","5040127","4985816","4926565","4908985","4906562","4897781","4865461",
"Grenada","GRD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3113748","3197297","3280593","3363884","3452484","3549187","3640386","3743098","3854109","3966138","4078614","4203609","4331842","4461078","4600436","4725239","4857708","4999574","5148322","5299878","5452475","5615970","6248342","5973064","6210765","6366233","6625067","6841030","7043858",
"Guam","GUM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65484","66860","68152","69363","70423","71409","72272","73124","73862","74644","75253","75582","75758","75871","75950","76054","76178","76317","76557","76884","77086","77378","77798","78112","78507","79023","79655","80377","81225",
"Guyana","GUY","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","282298","284774","287567","290169","288944","287064","285229","282933","280013","276432","272486","269638","266479","265395","265426","265708","269341","273298","276708","279952","282920","287748","292795","297948","302979","307747","311786","315724","319502",
"High income","HIC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","480554341","485869661","488642132","491191520","496189017","500983999","505950100","511610158","515714555","520916199","526037549","529244351","533924266","538575300","543368520","550514035","557082147","563707885","570945383","574135815","577106160","579213204","584449386","588684372","593199230","597515115","603344378","608334895","610067633",
"Hong Kong SAR, China","HKG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2869336","2920256","2915059","2951623","3021612","3101880","3234750","3263541","3305791","3350430","3392866","3440151","3496693","3489685","3532460","3553267","3596080","3651714","3664393","3682695","3656647","3722477","3806392","3879934","3899332","3933395","3949386","3959441","3955349",
"Honduras","HND","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1769993","1832276","1898485","1968134","2035265","2111775","2191031","2277746","2367271","2454295","2502329","2548649","2624704","2701669","2780552","2861827","2884445","2934661","3069388","3226732","3391777","3382076","3435717","3703239","3896969","4011643","4077615","4202391","4312685",
"Heavily indebted poor countries (HIPC)","HPC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139767475","143909398","148365722","153060209","157909436","162986519","167605974","172290146","177194662","182308936","187678499","192971114","198728950","204801951","211089685","217488056","223157586","228790924","234612716","240688665","247087463","253648028","260461454","268516762","276886415","285399193","294871143","304328693","314259732",
"Croatia","HRV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2218248","2174108","2109870","2109187","2120067","2091901","2055110","2035576","2024514","2007455","1981847","1898897","1872721","1884544","1935308","1935848","1921680","1936561","1940997","1937381","1913390","1877329","1857632","1837999","1890446","1893618","1833304","1825674","1802159",
"Haiti","HTI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2697624","2743176","2786106","2828686","2873977","2923236","2973607","3027046","3083335","3141842","3202583","3288466","3379733","3475421","3574280","3675498","3776651","3879186","3980568","4086984","4187817","4299508","4413059","4530662","4646369","4758165","4869895","4978310","5087336",
"Hungary","HUN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4509433","4514359","4530139","4385723","4256617","4182840","4079603","4011271","4065960","4139199","4160495","4147331","4150157","4221391","4202060","4273343","4304659","4287279","4258817","4258665","4299563","4316084","4368797","4401133","4525623","4616041","4686095","4717813","4700940",
"IBRD only","IBD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1546387097","1574452962","1605110568","1633567782","1664009689","1691731014","1720208070","1749215795","1777808807","1811434056","1840281722","1865951719","1893521368","1921417169","1954150541","1983627273","2002047601","2023832943","2041549918","2059360184","2072319369","2088857917","2106865616","2127303186","2146201890","2166360556","2184425269","2204361481","2219621098",
"IDA & IBRD total","IBT","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1850194288","1886761624","1926412616","1963978657","2004542120","2041871141","2080482962","2120071677","2159151373","2203892090","2244039296","2280400066","2318928654","2358527113","2402963828","2443785157","2472905027","2505872156","2535055438","2564959514","2590673842","2619607071","2650596739","2685209662","2717954424","2754430438","2787544838","2825853752","2858015467",
"IDA total","IDA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","303807191","312308662","321302048","330410876","340532432","350140127","360274892","370855882","381342567","392458035","403757573","414448347","425407286","437109944","448813287","460157884","470857426","482039213","493505520","505599330","518354473","530749154","543731123","557906476","571752534","588069882","603119569","621492271","638394369",
"IDA blend","IDB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92147930","94568054","97216135","99609959","102756302","104981171","108341936","111921260","115069915","118562178","122288949","125312591","128579370","132406709","136155915","139232381","142539473","146319093","149984255","154257542","158695713","163005083","167649497","172561280","176895931","182855333","187440578","192171456","197126842",
"Indonesia","IDN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72977582","76010387","79060803","81267773","83526270","85859279","88147545","90529540","93939567","97259022","98577898","98951973","98727333","99567690","101466110","101152359","103075043","108431600","110750572","112474150","115065454","117338708","120232220","121058437","122686817","124197130","125529899","129125589","131135747",
"IDA only","IDX","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211659261","217740608","224085914","230800917","237776130","245158956","251932956","258934622","266272652","273895857","281468625","289135756","296827916","304703235","312657372","320925503","328317953","335720120","343521265","351341788","359658760","367744071","376081626","385345196","394856604","405214549","415678991","429320815","441267526",
"Isle of Man","IMN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","317868540","325207930","332867328","340920150","349494440","357121473","364532858","372201819","380103771","388202206","396458800","406847142","417571674","428578897","439815000","451240367","453337579","455426678","457466448","459456068","461389330","461954649","462667271","471350473","479842798","487984386","495834167","503170333","509945440",
"Not classified","INX","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1433819","1462731","1450669","1486501","1522335","1547288","1595878","1645361","1732587","1809868","1870854","1907342","1952107","1996797","2046585","2160624","2244806","2329129","2351041","2312598","2277533","2254338","2245284","2262571","2264920","2279856","2313930","2330944","2341885",
"Iran, Islamic Rep.","IRN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14260254","14466499","14730581","14977984","15227492","15489174","15848195","16505218","17210201","17979407","18828116","19811126","20882867","22038039","23244308","24461695","24484314","24468013","23719883","24384452","24367004","24445178","24522043","24594649","24659641","25653144","26923843","27235013","27509211",
"Iraq","IRQ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3983446","4114476","4242329","4408265","4579220","4750170","4941910","5123201","5303582","5489754","5682347","5867178","6061867","6257100","6439984","6603766","6742783","6858906","6981048","7131740","7329661","7597230","7917001","8251369","8648893","8977101","9184351","9510979","9771303",
"Iceland","ISL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","142030","143965","147806","147898","149444","155103","153711","153679","158874","164020","169237","171637","171169","172123","173090","174963","181726","187323","189957","187684","188675","187904","189265","193286","198782","203034","208175","210269","215769",
"Israel","ISR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1889736","2024698","2125444","2246437","2349031","2434792","2480344","2531084","2581600","2668984","2768455","2834953","2860585","2931315","3010815","3085340","3170558","3261299","3326601","3411097","3494743","3542908","3641401","3713561","3805482","3877021","3957145","4029620","4110577",
"Italy","ITA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23918248","24092697","23334561","23200565","23007253","22871078","22973201","23011807","23160484","23302720","23334798","23456481","23716874","24027306","24562077","24402453","24439818","24417189","24732930","24517057","24451369","24439314","24961797","25064690","25416313","25341014","25584166","25717681","25584964",
"Jamaica","JAM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1082598","1102557","1122966","1142970","1163031","1169747","1175592","1179002","1179440","1190669","1200385","1210576","1220322","1229392","1242590","1254595","1269062","1282685","1296462","1311579","1328337","1344189","1362097","1400444","1426788","1448164","1487513","1509932","1522884",
"Jordan","JOR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","778363","853065","917908","1000402","1081336","1154999","1195577","1226752","1253157","1277666","1303230","1331184","1351825","1369206","1414677","1467115","1521585","1647323","1719045","1846435","1914935","1992431","2063852","2122856","2230723","2330265","2413745","2483169","2535740",
"Japan","JPN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63876758","65018659","65854906","66179332","66493404","66839518","67373139","67978883","68042898","67828897","67653492","67601589","67173522","67065803","66725663","66733259","66802149","67142641","67097728","66912331","66662126","66044862","65647145","65983955","66189326","66363239","66842064","67249062","66976257",
"Kazakhstan","KAZ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7970593","8043652","8067969","8071095","8028302","7948460","7871100","7781559","7691632","7653139","7649138","7670686","7710534","7758737","7802568","7947812","8080705","8226662","8382549","8573022","8719779","8806519","8887384","8961806","9050189","9109811","9172043","9222689","9272124",
"Kenya","KEN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8767351","9112704","9484805","9875112","10273339","10674002","11047902","11416742","11784807","12173100","12415118","12597550","12796301","12996859","13179960","13338054","13799873","14269554","14759581","15260697","15772127","16306245","16868744","17447367","18035216","18624149","19226883","19826095","20424394",
"Kyrgyz Republic","KGZ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1698757","1731739","1767455","1787312","1812928","1842186","1877579","1911704","1956888","2003998","2048850","2088534","2136710","2174817","2218820","2311434","2381386","2395736","2403708","2410072","2447362","2491924","2503062","2487005","2520862","2561561","2565487","2604412","2640219",
"Cambodia","KHM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4004264","4125185","4231967","4338124","4455031","4600215","4743343","4943132","5172744","5422178","5580568","6162441","6337347","6465015","6547089","6809234","7084531","7359858","7636446","7895327","8148384","8248921","8351940","8450433","8535744","8604214","8762614","8908467","9068225",
"Kiribati","KIR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19184072","19699316","20091124","20352454","20905646","21398592","21799758","22335298","22026774","22326937","22812127","23181843","23637643","23661728","24116490","24278834","24519979","24771114","24921492","24922368","25258931","25664575","26051860","26379368","27113541","27433821","27723770","28027529","28169666",
"Kuwait","KWT","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","895119","888922","","","","775421","788423","832799","896284","965097","1020658","1052551","1078002","1095071","1125721","1172121","1234065","1313464","1410704","1530971","1656711","1775447","1903299","2037631","2164101","2275446","2324327","2372037","2409151",
"Latin America & Caribbean (excluding high income)","LAC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161667293","166464056","171721124","177044048","182036142","187080801","190309149","196960208","202146221","206896916","211329769","216253415","221810450","226345330","233194335","238279283","243507125","247519185","251994270","257783625","260574037","263591191","270454825","273959901","277272397","282018073","285924170","290604418","294623381",
"Lao PDR","LAO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1927861","1977452","2027699","2078551","2128245","2179660","2222030","2267342","2314901","2363713","2413679","2469842","2524769","2580978","2641457","2707307","2783225","2862482","2943932","3025938","3107598","3184892","3263260","3341088","3417341","3491389","3568693","3644895","3726264",
"Lebanon","LBN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","807528","850121","903241","958825","1010044","1054865","1083681","1114782","1135410","1171137","1219254","1274235","1348551","1431200","1502658","1565154","1608158","1636504","1643453","1668004","1724375","1824598","1949653","2086673","2215964","2326013","2412073","2472525","2506711",
"Liberia","LBR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","636034","627960","624516","625082","633703","652817","690300","733396","791010","847262","893261","925762","948038","975705","996219","1023169","1058404","1100770","1148225","1196865","1243583","1285275","1324919","1363264","1404826","1447960","1492077","1535573","1581113",
"Libya","LBY","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1188378","1228143","1279328","1334703","1388756","1449027","1498146","1547788","1597790","1649937","1704099","1762846","1824950","1881676","1943663","1999944","2051342","2100854","2149737","2196742","2233721","2327595","2287419","2334508","2389743","2412343","2453464","2474772","2523550",
"St. Lucia","LCA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54677","56070","57253","58339","59408","60503","61737","63103","64572","66098","67646","69219","71111","73253","75620","77952","80523","82879","85168","87027","88620","90550","92163","93679","95073","96530","97710","98982","100154",
"Latin America & Caribbean","LCN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171011392","176039625","181554319","187125750","192346832","197639854","201117727","208009688","213389839","218306324","222813008","227862443","233540037","238312781","245448294","250819260","256328927","260619220","265483475","271389479","274346913","277635632","284675776","288356191","291847846","296749501","300825496","305734469","309928361",
"Least developed countries: UN classification","LDC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","196013098","201616998","207484886","213696435","220139435","226980952","233249348","239749831","246584320","253652951","260711971","268063696","275412966","282963980","290643381","298570717","305591759","312617835","319856598","327389357","335248327","343292479","351674576","360854528","370316559","380685115","391011348","404303345","415919697",
"Low income","LIC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136316671","140093731","144107613","148344133","152722171","157369365","161467271","165716761","170198095","175011998","179927704","184846115","190139005","195706306","201422878","207266405","212606564","217979009","223657424","229322358","235319602","241105162","247085684","253665507","260475297","268166574","276364470","284898323","293725683",
"Liechtenstein","LIE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7354055","7197175","7018378","7157648","7297802","7153529","7276758","7399238","7975688","7861666","7828923","7907428","7985446","8060131","8129463","8191579","8242097","8286994","8326505","8361483","8268257","8284867","8172455","8498965","8452073","8466471","8520776","8586360","8675704",
"Lower middle income","LMC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","685561547","703483606","722045143","740084559","759766347","777140648","794959376","813682176","833491910","854444541","873577749","892467655","911146889","932169857","954485652","974454799","987088613","1003928334","1017221794","1031332613","1046260234","1059292638","1072568367","1093470915","1113481453","1132968361","1151016692","1172375129","1192010498",
"Low & middle income","LMY","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1839220789","1875901350","1915609238","1953298400","1994062461","2031626705","2070344222","2110097638","2149165206","2194026904","2234140205","2270369745","2309207012","2348881933","2393223534","2433781932","2463097904","2496028044","2524776777","2554584464","2580074213","2608900591","2639768591","2674332808","2706909602","2743420201","2776478067","2814577331","2846808656",
"Lesotho","LSO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","711974","732597","753509","774738","795742","816576","833662","850018","864852","877056","878719","876124","871014","864295","857219","850888","848658","846808","845776","845825","846902","848769","851962","856198","867745","879796","890987","902949","914036",
"Late-demographic dividend","LTE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","965322579","978479405","992458515","1006484160","1019646874","1033785842","1048140832","1061830242","1074046955","1091287382","1106605031","1116713597","1128712094","1140632959","1153444538","1165774494","1174474019","1184297979","1193943640","1202727289","1206963050","1214808558","1223235429","1228360810","1232944943","1237660083","1240069082","1244568455","1245760754",
"Lithuania","LTU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1789609","1789696","1785784","1777186","1764870","1752357","1737750","1723395","1710315","1712659","1682388","1643903","1625856","1683859","1594102","1553565","1511805","1511341","1512342","1522388","1503823","1495317","1484614","1473485","1481380","1470282","1481002","1467457","1446722",
"Luxembourg","LUX","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160004","165593","170050","169988","171636","167621","171288","173829","176479","181745","188745","189068","194924","195020","201398","207421","213159","215947","220410","234323","237899","243428","255232","263259","273801","282750","281977","290119","295026",
"Latvia","LVA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1286535","1274213","1252250","1227484","1204455","1186314","1175732","1171893","1147245","1121000","1090112","1090856","1115201","1096894","1098381","1093788","1119674","1136082","1150616","1106702","1062924","1036403","1041714","1021211","1007326","1011046","1008672","1006786","992876",
"Macao SAR, China","MAC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146788","151349","156913","160409","163902","172301","199288","201904","205390","210218","215619","225527","227517","231138","244123","258244","275211","295570","309931","321538","332583","343552","350893","360189","371822","377597","378330","382736","385316",
"St. Martin (French part)","MAF","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7546524","7722133","7965247","8193519","8331011","8624250","8747191","9013757","9204307","9449482","9674829","9865830","10004328","10288466","10516859","10670038","10789952","10961540","11111082","11319965","11521230","11723562","11763459","11859508","11845010","11820501","11782316","11740786","11901823",
"Monaco","MCO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1298110","1308685","1339256","1341697","1386700","1387690","1398283","1395014","1409952","1420856","1425918","1428580","1432289","1439390","1447656","1418031","1381753","1344637","1306083","1266211","1240940","1261840","1218042","1241097","1236959","1320953","1281146","1266500","1256021",
"Madagascar","MDG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5459208","5624891","5800195","5985936","6181727","6385872","6585085","6795316","7015770","7245841","7485583","7719708","7972963","8232545","8503139","8782870","9135661","9495144","9863540","10244357","10638131","10958025","11286285","11611827","11931323","12238232","12630410","13030680","13465416",
"Maldives","MDV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57947","59905","61979","64201","66586","69173","72594","76217","80184","84694","89895","95916","102838","110515","118664","127029","134710","142710","151265","160724","171332","182867","195447","208818","222702","231510","238370","247622","258455",
"Middle East & North Africa","MEA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69594718","71667579","72969201","75361420","77995493","80760555","82723487","85093797","87440609","91003376","94058612","96866935","99809327","103665984","107619984","111707531","114783451","118485135","120933640","125126035","128835185","131856198","134881637","137994185","139925311","142444126","145685981","148307771","151124012",
"Mexico","MEX","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29929959","30897772","32118585","33394979","34204563","34980045","35830035","37490415","38190980","38513700","39218200","39610331","40514411","40958222","42707229","43813393","45338767","46433395","47259239","48244283","49139728","50204972","51791166","52634119","53117047","54211066","55096601","55902381","56870757",
"Marshall Islands","MHL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1702904118","1735807618","1771501625","1804954268","1841340290","1874257340","1908876950","1944380877","1978967110","2019014906","2054212500","2085523630","2119068007","2153175628","2191800656","2226515527","2250491340","2278049035","2301119353","2325262106","2344754612","2367795429","2392682908","2420667300","2446434304","2475253627","2500113596","2529679008","2553082973",
